"","City","OtherName","Country","Latitude","Longitude","Certainty","year","pop"
"86","Nagar","Tell Brak","Syria","36.66739231","41.05865393",1,-2300,20000
"87","Namazga-Tepe","Namazga-depe","Turkmenistan","37.372778","59.556944",1,-2300,10000
"88","Nippur","","Iraq","32.12693858","45.23078534",1,-2300,30000
"89","Rakhigarhi","Rakhi Garhi","India","29.288611","76.113056",1,-2300,10000
"90","Shahr-e Sukhteh","Shakr-I-Sohta","Iran","30.595278","61.326389",1,-2300,10000
"91","Susa","","Iran","32.19085","48.246028",1,-2300,10000
"92","Tell Taya","Samiatum","Iraq","36.33261877","42.4937529",1,-2300,15000
"93","Titris Hoyuk","","Turkey","37.47622","38.676116",3,-2300,10000
"94","Umma","","Sumer","31.6211048","45.93344587",1,-2300,40000
"95","Ur","","Iraq","30.962659","46.10321",1,-2300,20000
"96","Urkesh","Urkiesh, Urkish, Tell Mozan","Syria","37.056944","40.997222",3,-2300,20000
"97","Uruk","Erech","Iraq","31.322222","45.636111",1,-2300,30000
"98","Zabalam","Zabala","Iraq","31.743333","45.876667",2,-2300,10000
"99","Ebla","","Syria","35.79839754","36.79872812",1,-2250,30000
"100","Nippur","","Iraq","32.12693858","45.23078534",1,-2250,30000
"101","Adab","","Iraq","31.94700807","45.96842134",1,-2200,30000
"102","Akkad","","Iraq","32.77156192","44.32045916",2,-2200,30000
"103","Anshan","","Iran","30.01201958","52.40857658",1,-2200,10000
"104","Dholavira","","India","23.886111","70.216667",1,-2200,15000
"105","Girsu","","Iraq","31.56002579","46.1754283",1,-2200,50000
"106","Harappa","","Pakistan","30.62983646","72.86614561",1,-2200,20000
"107","Memphis","","Egypt","29.844722","31.250833",2,-2200,30000
"108","Mohenjodaro","Mohenjo-Daro","Pakistan","27.32533494","68.13293014",1,-2200,40000
"109","Nagar","Tell Brak","Syria","36.66739231","41.05865393",1,-2200,15000
"110","Namazga-Tepe","Namazga-depe","Turkmenistan","37.372778","59.556944",1,-2200,10000
"111","Nippur","","Iraq","32.12693858","45.23078534",1,-2200,30000
"112","Rakhigarhi","Rakhi Garhi","India","29.288611","76.113056",1,-2200,10000
"113","Susa","","Iran","32.19085","48.246028",1,-2200,10000
"114","Titris Hoyuk","","Turkey","37.47622","38.676116",3,-2200,10000
"115","Umma","","Sumer","31.6211048","45.93344587",1,-2200,10000
"116","Ur","","Iraq","30.962659","46.10321",1,-2200,40000
"117","Zabalam","Zabala","Iraq","31.743333","45.876667",2,-2200,10000
"118","Adab","","Iraq","31.94700807","45.96842134",1,-2100,10000
"119","Anshan","","Iran","30.01201958","52.40857658",1,-2100,10000
"120","Dholavira","","India","23.886111","70.216667",1,-2100,10000
"121","Girsu","","Iraq","31.56002579","46.1754283",1,-2100,80000
"122","Harappa","","Pakistan","30.62983646","72.86614561",1,-2100,15000
"123","Mari","","Syria","34.54962872","40.88925833",1,-2100,30000
"124","Mohenjodaro","Mohenjo-Daro","Pakistan","27.32533494","68.13293014",1,-2100,20000
"125","Nagar","Tell Brak","Syria","36.66739231","41.05865393",1,-2100,10000
"126","Namazga-Tepe","Namazga-depe","Turkmenistan","37.372778","59.556944",1,-2100,10000
"127","Nina","Surghul","Iraq","31.411389","46.407222",3,-2100,10000
"128","Nippur","","Iraq","32.12693858","45.23078534",1,-2100,30000
"129","Rakhigarhi","Rakhi Garhi","India","29.288611","76.113056",1,-2100,10000
"130","Susa","","Iran","32.19085","48.246028",1,-2100,10000
"131","Umma","","Sumer","31.6211048","45.93344587",1,-2100,20000
"132","Ur","","Iraq","30.962659","46.10321",1,-2100,100000
"133","Uruk","Erech","Iraq","31.322222","45.636111",1,-2100,30000
"134","Zabalam","Zabala","Iraq","31.743333","45.876667",2,-2100,10000
"135","Adab","","Iraq","31.94700807","45.96842134",1,-2000,10000
"136","Anshan","","Iran","30.01201958","52.40857658",1,-2000,10000
"137","Dholavira","","India","23.886111","70.216667",1,-2000,10000
"138","Girsu","","Iraq","31.56002579","46.1754283",1,-2000,40000
"139","Harappa","","Pakistan","30.62983646","72.86614561",1,-2000,10000
"140","Isin","","Iraq","31.88487801","45.2692575",1,-2000,40000
"141","Larsa","","Iraq","31.28397535","45.85304653",1,-2000,40000
"142","Mari","","Syria","34.54962872","40.88925833",1,-2000,30000
"143","Memphis","","Egypt","29.844722","31.250833",2,-2000,60000
"144","Mohenjodaro","Mohenjo-Daro","Pakistan","27.32533494","68.13293014",1,-2000,10000
"145","Mundigak","","Afghanistan","31.90671754","65.49785591",1,-2000,10000
"146","Namazga-Tepe","Namazga-depe","Turkmenistan","37.372778","59.556944",1,-2000,10000
"147","Nina","Surghul","Iraq","31.411389","46.407222",3,-2000,10000
"148","Nippur","","Iraq","32.12693858","45.23078534",1,-2000,30000
"149","Rakhigarhi","Rakhi Garhi","India","29.288611","76.113056",1,-2000,10000
"150","Susa","","Iran","32.19085","48.246028",1,-2000,25000
"151","Susa","","Iran","32.19085","48.246028",1,-2000,25000
"152","Umma","","Sumer","31.6211048","45.93344587",1,-2000,25000
"153","Ur","","Iraq","30.962659","46.10321",1,-2000,65000
"154","Ur","","Iraq","30.962659","46.10321",1,-2000,20000
"155","Uruk","Erech","Iraq","31.322222","45.636111",1,-2000,30000
"156","Zabalam","Zabala","Iraq","31.743333","45.876667",2,-2000,10000
"157","Adab","","Iraq","31.94700807","45.96842134",1,-1900,10000
"158","Assur","Ashur","Iraq","35.456667","43.2625",1,-1900,10000
"159","Dilmun","","Iraq","26.12163972","50.49894117",1,-1900,10000
"160","Ebla","","Syria","35.79839754","36.79872812",1,-1900,10000
"161","Elephantine","","Egypt","24.083333","32.883333",1,-1900,16000
"162","Isin","","Iraq","31.88487801","45.2692575",1,-1900,40000
"163","Larsa","","Iraq","31.28397535","45.85304653",1,-1900,40000
"164","Mari","","Syria","34.54962872","40.88925833",1,-1900,30000
"165","Mundigak","","Afghanistan","31.90671754","65.49785591",1,-1900,10000
"166","Nagar","Tell Brak","Syria","36.66739231","41.05865393",1,-1900,10000
"167","Nina","Surghul","Iraq","31.411389","46.407222",3,-1900,10000
"168","Nippur","","Iraq","32.12693858","45.23078534",1,-1900,20000
"169","Ur","","Iraq","30.962659","46.10321",1,-1900,10000
"170","Uruk","Erech","Iraq","31.322222","45.636111",1,-1900,30000
"171","Zabalam","Zabala","Iraq","31.743333","45.876667",2,-1900,10000
"172","Adab","","Iraq","31.94700807","45.96842134",1,-1800,10000
"173","Aleppo","Alep","Syria","36.216667","37.166667",2,-1800,10000
"174","Anshan","","Iran","30.01201958","52.40857658",1,-1800,10000
"175","Assur","Ashur","Iraq","35.456667","43.2625",1,-1800,15000
"176","Avaris","Pi-Rameses","Egypt","30.78629566","31.82221773",1,-1800,20000
"177","Badtibira","","Iraq","31.766667","46.004444",1,-1800,10000
"178","Ebla","","Syria","35.79839754","36.79872812",1,-1800,10000
"179","Elephantine","","Egypt","24.083333","32.883333",1,-1800,16000
"180","Eshnunna","Tell Asmar","Iraq","33.484167","44.728333",1,-1800,10000
"181","Hazor","Tel Hazor","Israel","33.01745538","35.5685014",1,-1800,16000
"182","Isin","","Iraq","31.88487801","45.2692575",1,-1800,20000
"183","Larsa","","Iraq","31.28397535","45.85304653",1,-1800,40000
"184","Mari","","Syria","34.54962872","40.88925833",1,-1800,60000
"185","Memphis","","Egypt","29.844722","31.250833",2,-1800,30000
"186","Mohenjodaro","Mohenjo-daro","Pakistan","27.32533494","68.13293014",1,-1800,20000
"187","Mundigak","","Afghanistan","31.90671754","65.49785591",1,-1800,10000
"188","Nippur","","Iraq","32.12693858","45.23078534",1,-1800,20000
"189","Qatna","","Syria","34.835","36.865833",1,-1800,20000
"190","Shehna","Tell Leilan, Shubat-Enlil","Syria","36.957222","41.505278",3,-1800,10000
"191","Susa","","Iran","32.19085","48.246028",1,-1800,25000
"192","Susa","","Iran","32.19085","48.246028",1,-1800,10000
"193","Thebes","Waset","Egypt","25.720556","32.610278",1,-1800,10000
"194","Umma","","Sumer","31.6211048","45.93344587",1,-1800,40000
"195","Zabalam","Zabala","Iraq","31.743333","45.876667",2,-1800,10000
"196","Aleppo","Alep","Syria","36.216667","37.166667",2,-1700,10000
"197","Assur","Ashur","Iraq","35.456667","43.2625",1,-1700,10000
"198","Avaris","Pi-Rameses","Egypt","30.78629566","31.82221773",1,-1700,20000
"199","Babylon","","Iraq","32.536389","44.420833",1,-1700,60000
"200","Carchemish","Karkemish","Turkey/Syria","36.829722","38.015",1,-1700,10000
"201","Ebla","","Syria","35.79839754","36.79872812",1,-1700,10000
"202","Elephantine","","Egypt","24.083333","32.883333",1,-1700,16000
"203","Erlitou","","China","34.701758","112.697078",1,-1700,40000
"204","Knossos","","Greece","35.2979516","25.16329744",1,-1700,15000
"205","Qatna","","Syria","34.835","36.865833",1,-1700,20000
"206","Susa","","Iran","32.19085","48.246028",1,-1700,10000
"207","Thebes","Waset","Egypt","25.720556","32.610278",1,-1700,10000
"208","Assur","Ashur","Iraq","35.456667","43.2625",1,-1600,10000
"209","Avaris","near Pi-Rameses","Egypt","30.78629566","31.82221773",2,-1600,100000
"210","Avaris","Pi-Rameses","Egypt","30.78629566","31.82221773",1,-1600,50000
"211","Babylon","","Iraq","32.536389","44.420833",1,-1600,60000
"212","Babylon","","Iraq","32.536389","44.420833",1,-1600,60000
"213","Bo ","Yanshi","China","34.733333","112.783333",1,-1600,24000
"214","Carchemish","Karkemish","Turkey/Syria","36.829722","38.015",1,-1600,20000
"215","Hattusa","Hattusah, Khattushash, Bogazkale","Turkey","40.019722","34.615278",1,-1600,30000
"216","Hazor","Tel Hazor","Israel","33.01745538","35.5685014",1,-1600,24000
"217","Hazor","Tel Hazor","Israel","33.01745538","35.5685014",1,-1600,20000
"218","Knossos","","Greece","35.2979516","25.16329744",1,-1600,15000
"219","Nineveh","","Iraq","36.359444","43.152778",1,-1600,10000
"220","Qatna","","Syria","34.835","36.865833",1,-1600,20000
"221","Susa","","Iran","32.19085","48.246028",1,-1600,25000
"222","Susa","","Iran","32.19085","48.246028",1,-1600,10000
"223","Thebes","Waset","Egypt","25.720556","32.610278",1,-1600,10000
"224","Akrotiri","","Greece","36.351389","25.403611",1,-1500,20000
"225","Assur","Ashur","Iraq","35.456667","43.2625",1,-1500,10000
"226","Carchemish","Karkemish","Turkey/Syria","36.829722","38.015",1,-1500,10000
"227","Knossos","","Greece","35.2979516","25.16329744",1,-1500,50000
"228","Nineveh","","Iraq","36.359444","43.152778",1,-1500,10000
"229","Susa","","Iran","32.19085","48.246028",1,-1500,10000
"230","Thebes","Waset","Egypt","25.720556","32.610278",1,-1500,60000
"231","Ao","Zhengzhou","China","34.766667","113.65",2,-1400,32000
"232","Assur","Ashur","Iraq","35.456667","43.2625",1,-1400,10000
"233","Carchemish","Karkemish","Turkey/Syria","36.829722","38.015",1,-1400,10000
"234","Heliopolis","","Egypt","30.129528","31.288889",3,-1400,30000
"235","Jarkutan","","Uzbekistan","39.750833","68.775833",3,-1400,20000
"236","Kition","Citium ","Cyprus","34.916667","33.633333",1,-1400,30000
"237","Nineveh","","Iraq","36.359444","43.152778",1,-1400,10000
"238","Nippur","","Iraq","32.12693858","45.23078534",1,-1400,20000
"239","Susa","","Iran","32.19085","48.246028",1,-1400,10000
"240","Thebes","Waset","Egypt","25.720556","32.610278",1,-1400,80000
"241","Ugarit","","Syria","35.60228865","35.78656277",1,-1400,10000
"242","Uruk","Erech","Iraq","31.322222","45.636111",1,-1400,30000
"243","Amarna","","Egypt","27.64528963","30.89624244",1,-1360,30000
"244","Ao","Zhengzhou","China","34.766667","113.65",2,-1360,32000
"245","Dur-Kurigalzu","","Iraq","33.35355825","44.20235367",1,-1360,40000
"246","Hattusa","Hattusah, Khattushash, Bogazkale","Turkey","40.021111","34.609722",2,-1360,45000
"247","Hazor","Tel Hazor","Israel","33.01745538","35.5685014",1,-1360,24000
"248","Heliopolis","","Egypt","30.129528","31.288889",3,-1360,30000
"249","Knossos","","Greece","35.2979516","25.16329744",1,-1360,30000
"250","Memphis","","Egypt","29.844722","31.250833",2,-1360,32000
"251","Mycenae","","Greece","37.73038721","22.75788116",1,-1360,30000
"252","Thebes","Waset","Egypt","25.720556","32.610278",1,-1360,80000
"253","Ugarit","","Syria","35.60228865","35.78656277",1,-1360,24000
"254","Uruk","Erech","Iraq","31.322222","45.636111",2,-1360,25000
"255","Assur","Ashur","Iraq","35.456667","43.2625",1,-1300,15000
"256","Carchemish","Karkemish","Turkey/Syria","36.829722","38.015",1,-1300,10000
"257","Hattusa","Hattusah, Khattushash, Bogazkale","Turkey","40.019722","34.615278",1,-1300,60000
"258","Heliopolis","","Egypt","30.129528","31.288889",3,-1300,30000
"259","Hermopolis","","Egypt","27.781389","30.803889",1,-1300,30000
"260","Jarkutan","","Uzbekistan","39.750833","68.775833",3,-1300,20000
"261","Kition","Citium ","Cyprus","34.916667","33.633333",1,-1300,30000
"262","Nineveh","","Iraq","36.359444","43.152778",1,-1300,10000
"263","Nippur","","Iraq","32.12693858","45.23078534",1,-1300,30000
"264","Sapinuwa","Shapinuwa","Turkey","40.266667","35.25",1,-1300,75000
"265","Susa","","Iran","32.19085","48.246028",1,-1300,10000
"266","Thebes","Waset","Egypt","25.720556","32.610278",1,-1300,80000
"267","Troy","","Turkey","39.9575","26.238889",1,-1300,10000
"268","Ugarit","","Syria","35.60228865","35.78656277",1,-1300,10000
"269","Uruk","Erech","Iraq","31.322222","45.636111",1,-1300,30000
"270","Yin","Yinxu","China","36.139444","114.303056",1,-1300,120000
"271","Anyang","","China","36.09944","114.32889",3,-1200,30000
"272","Argos","Argolis","Greece","37.63333","22.73333",1,-1200,24000
"273","Assur","Ashur","Iraq","35.456667","43.2625",1,-1200,20000
"274","Babylon","","Iraq","32.536389","44.420833",1,-1200,75000
"275","Dur-Kurigalzu","","Iraq","33.35355825","44.20235367",1,-1200,40000
"276","Dur-Untash","Chogha Zanbil","Iran","32.008333","48.520833",1,-1200,10000
"277","Hattusa","Hattusah, Khattushash, Bogazkale","Turkey","40.021111","34.609722",2,-1200,48000
"278","Hattusa","Hattusah, Khattushash, Bogazkale","Turkey","40.019722","34.615278",1,-1200,60000
"279","Heliopolis","","Egypt","30.129528","31.288889",3,-1200,30000
"280","Hermopolis","","Egypt","27.781389","30.803889",1,-1200,30000
"281","Isin","","Iraq","31.88487801","45.2692575",1,-1200,40000
"282","Memphis","","Egypt","29.844722","31.250833",2,-1200,50000
"283","Memphis","","Egypt","29.844722","31.250833",2,-1200,75000
"284","Mycenae","","Greece","37.73038721","22.75788116",1,-1200,30000
"285","Navarino","Pylos","Greece","36.916667","21.7",1,-1200,10000
"286","Nineveh","","Iraq","36.359444","43.152778",1,-1200,10000
"287","Nippur","","Iraq","32.12693858","45.23078534",1,-1200,20000
"288","Pi-Ramesses","","Egypt","30.798889","31.835833",2,-1200,160000
"289","Sanxingdui","","China","30.993","104.2",1,-1200,35000
"290","Sapinuwa","Shapinuwa","Turkey","40.266667","35.25",1,-1200,60000
"291","Susa","","Iran","32.19085","48.246028",1,-1200,30000
"292","Susa","","Iran","32.19085","48.246028",1,-1200,20000
"293","Thebes","Waset","Egypt","25.720556","32.610278",1,-1200,150000
"294","Ugarit","","Syria","35.60228865","35.78656277",1,-1200,10000
"295","Yin","Yinxu","China","36.139444","114.303056",1,-1200,120000
"296","Assur","Ashur","Iraq","35.456667","43.2625",1,-1100,12000
"297","Babylon","","Iraq","32.536389","44.420833",1,-1100,75000
"298","Heliopolis","","Egypt","30.129528","31.288889",3,-1100,20000
"299","Memphis","","Egypt","29.844722","31.250833",2,-1100,100000
"300","Nineveh","","Iraq","36.359444","43.152778",1,-1100,10000
"301","Pi-Ramesses","","Egypt","30.798889","31.835833",2,-1100,120000
"302","Thebes","Waset","Egypt","25.720556","32.610278",1,-1100,100000
"303","Assur","Ashur","Iraq","35.456667","43.2625",1,-1000,12000
"304","Babylon","","Iraq","32.536389","44.420833",1,-1000,100000
"305","Heliopolis","","Egypt","30.129528","31.288889",3,-1000,20000
"306","Luoyang","Honan","China","34.669722","112.442222",2,-1000,50000
"307","Memphis","","Egypt","29.844722","31.250833",2,-1000,100000
"308","Nineveh","","Iraq","36.359444","43.152778",1,-1000,10000
"309","Pyongyang","P'yongyang, Tonggoo","Dem. People's Republic of Korea","39.03385","125.75432",1,-1000,25000
"310","Susa","","Iran","32.19085","48.246028",1,-1000,25000
"311","Tanis","","Egypt","30.976944","31.88",1,-1000,35000
"312","Thebes","Waset","Egypt","25.720556","32.610278",1,-1000,120000
"313","Tyre","","Lebanon","33.27333","35.19389",1,-1000,10000
"314","Babylon","","Iraq","32.536389","44.420833",1,-900,100000
"315","Caracol","El Caracol","Mexico","20.6792","-88.5707",3,-900,100000
"316","Memphis","","Egypt","29.844722","31.250833",2,-900,100000
"317","Teotihuacan","","Mexico","19.69291001","-98.84606",1,-900,100000
"318","Thebes","Waset","Egypt","25.720556","32.610278",1,-900,100000
"319","Tikal","Tical","Guatemala","17.222094","-89.623614",1,-900,100000
"320","Babylon","","Iraq","32.536389","44.420833",1,-800,100000
"321","Caracol","El Caracol","Mexico","20.6792","-88.5707",3,-800,100000
"322","Jerusalem","","Israel","31.76904","35.21633",1,-800,36000
"323","Luoyang","Honan","China","34.669722","112.442222",2,-800,50000
"324","Memphis","","Egypt","29.844722","31.250833",2,-800,100000
"325","Nimrud","Calah","Iraq","36.09813154","43.32875612",1,-800,50000
"326","Pyongyang","P'yongyang, Tonggoo","Dem. People's Republic of Korea","39.03385","125.75432",1,-800,25000
"327","Samaria","Shomron, omron ","Palestine","32.2761695611 ","35.19040505",1,-800,27000
"328","Susa","","Iran","32.19085","48.246028",1,-800,27000
"329","Teotihuacan","","Mexico","19.69291001","-98.84606",1,-800,150000
"330","Thebes","Waset","Egypt","25.720556","32.610278",1,-800,100000
"331","Tikal","Tical","Guatemala","17.222094","-89.623614",1,-800,100000
"332","Samarkand","Sumarqand","Uzbekistan","39.6576","66.947561",1,-712,45000
"333","Babylon","","Iraq","32.536389","44.420833",1,-700,100000
"334","Caracol","El Caracol","Mexico","20.6792","-88.5707",3,-700,140000
"335","Linzi","","China","36.8167","118.3",1,-700,100000
"336","Luoyang","Honan","China","34.669722","112.442222",1,-700,100000
"337","Memphis","","Egypt","29.844722","31.250833",2,-700,100000
"338","Nineveh","","Iraq","36.359444","43.152778",1,-700,100000
"339","Teotihuacan","","Mexico","19.69291001","-98.84606",1,-700,100000
"340","Thebes","Waset","Egypt","25.720556","32.610278",1,-700,100000
"341","Babylon","","Iraq","32.536389","44.420833",1,-650,60000
"342","Jerusalem","","Israel","31.76904","35.21633",1,-650,45000
"343","Luoyang","Honan","China","34.669722","112.442222",2,-650,70000
"344","Mareb","Marib","Yemen","15.40427477","45.355823",1,-650,45000
"345","Miletus","","Turkey","37.530278","27.278333",2,-650,50000
"346","Nimrud","Calah","Iraq","36.09813154","43.32875612",1,-650,40000
"347","Nineveh","","Iraq","36.359444","43.152778",2,-650,120000
"348","Pyongyang","P'yongyang, Tonggoo","Dem. People's Republic of Korea","39.03385","125.75432",1,-650,30000
"349","Sais","Sa el-Hagar ","Egypt","30.96485438","30.76872699",1,-650,48000
"350","Susa","","Iran","32.19085","48.246028",1,-650,30000
"351","Babylon","","Iraq","32.536389","44.420833",1,-600,200000
"352","Caracol","El Caracol","Mexico","20.6792","-88.5707",3,-600,100000
"353","Carthage","","Tunisia","36.858056","10.330833",3,-600,100000
"354","Linzi","","China","36.8167","118.3",1,-600,100000
"355","Luoyang","Honan","China","34.669722","112.442222",1,-600,200000
"356","Teotihuacan","","Mexico","19.69291001","-98.84606",1,-600,100000
"357","Tikal","Tical","Guatemala","17.222094","-89.623614",1,-600,100000
"358","Anyi","","China","28.8389","115.599",3,-500,100000
"359","Babylon","","Iraq","32.536389","44.420833",1,-500,200000
"360","Caracol","El Caracol","Mexico","20.6792","-88.5707",3,-500,100000
"361","Carthage","","Tunisia","36.858056","10.330833",3,-500,100000
"362","Ecbatana","","Iran","34.8053317919 ","48.51738769",1,-500,100000
"363","Handan","Ye","China","36.6","114.483333",3,-500,100000
"364","Kaifeng","","China","34.7986","114.30742",1,-500,100000
"365","Linzi","","China","36.8167","118.3",1,-500,200000
"366","Luoyang","Honan","China","34.669722","112.442222",1,-500,200000
"367","Memphis","","Egypt","29.844722","31.250833",2,-500,100000
"368","Qufu","Lu","China","35.6","117.033333",1,-500,100000
"369","Rajagriha","Rajgir","India","25.03","85.42",2,-500,100000
"370","Rome","","Italy","41.89474","12.4839",1,-500,100000
"371","Shangqi","Shanghi","China","31.22222","121.45806",3,-500,100000
"372","Syracuse","","Greece","37.06082237","15.29420264",2,-500,100000
"373","Tiahuanaco","Tiwanaku","Bolivia","-16.55228","-68.67953",1,-500,100000
"374","Agrigento","Agrigentum","Italy","37.29082765","13.58427204",1,-430,40000
"375","Argos","Argolis","Greece","37.63333","22.73333",1,-430,40000
"376","Athens","","Greece","37.97945","23.71622",1,-430,155000
"377","Babylon","","Iraq","32.536389","44.420833",1,-430,200000
"378","Carthage","","Tunisia","36.8581","10.3308",3,-430,50000
"379","Changsha","","China","28.196111","112.972222",1,-430,40000
"380","Corinth","","Greece","37.938636","22.932228",1,-430,70000
"381","Crotone","Croton","Italy","39.08144536","17.12880422",2,-430,35000
"382","Cyrene","near present-day Shahhat","Libya","32.81901498","21.85583296",3,-430,35000
"383","Damascus","","Syria","33.5102","36.29128",1,-430,30000
